entrez_id,gene_symbol
19,ABCA1
25,ABL1
60,ACTB
183,AGT
185,AGTR1
207,AKT1
238,ALK
248,ALPI
324,APC
338,APOB
348,APOE
351,APP
367,AR
471,ATIC
472,ATM
595,CCND1
596,BCL2
598,BCL2L1
637,BID
657,BMPR1A
672,BRCA1
673,BRAF
675,BRCA2
773,CACNA1A
774,CACNA1B
775,CACNA1C
835,CASP2
836,CASP3
843,CASP10
861,RUNX1
894,CCND2
896,CCND3
898,CCNE1
900,CCNG1
916,CD3E
925,CD8A
941,CD80
942,CD86
945,CD33
958,CD40
959,CD40LG
983,CDK1
1019,CDK4
1021,CDK6
1026,CDKN1A
1027,CDKN1B
1029,CDKN2A
1071,CETP
1080,CFTR
1109,AKR1C4
1128,CHRM1
1135,CHRNA2
1136,CHRNA3
1141,CHRNB2
1175,AP2S1
1191,CLU
1234,CCR5
1293,COL6A3
1294,COL7A1
1376,CPT2
1378,CR1
1385,CREB1
1400,CRMP1
1401,CRP
1493,CTLA4
1499,CTNNB1
1559,CYP2C9
1565,CYP2D6
1571,CYP2E1
1572,CYP2F1
1585,CYP11B2
1636,ACE
1739,DLG1
1741,DLG3
1760,DMPK
1788,DNMT3A
1803,DPP4
1812,DRD1
1813,DRD2
1814,DRD3
1815,DRD4
1826,DSCAM
1829,DSG2
1832,DSP
1869,E2F1
1870,E2F2
1871,E2F3
1950,EGF
1956,EGFR
2048,EPHB2
2064,ERBB2
2099,ESR1
2100,ESR2
2147,F2
2149,F2R
2153,F5
2155,F7
2157,F8
2160,F11
2162,F13A1
2168,FABP1
2176,FANCC
2184,FAH
2208,FCER2
2261,FGFR3
2263,FGFR2
2264,FGFR4
2308,FOXO1
2309,FOXO3
2321,FLT1
2322,FLT3
2332,FMR1
2475,MTOR
2521,FUS
2554,GABRA1
2555,GABRA2
2571,GAD1
2572,GAD2
2597,GAPDH
2626,GATA4
2629,GBA1
2641,GCG
2645,GCK
2690,GHR
2691,GHRH
2697,GJA1
2740,GLP1R
2810,SFN
2901,GRIK5
2903,GRIN2A
2919,CXCL1
2920,CXCL2
3064,HTT
3156,HMGCR
3170,FOXA2
3172,HNF4A
3265,HRAS
3315,HSPB1
3359,HTR3A
3360,HTR4
3416,IDE
3417,IDH1
3418,IDH2
3458,IFNG
3553,IL1B
3558,IL2
3565,IL4
3569,IL6
3576,CXCL8
3586,IL10
3596,IL13
3605,IL17A
3630,INS
3643,INSR
3651,PDX1
3661,IRF3
3667,IRS1
3688,ITGB1
3689,ITGB2
3690,ITGB3
3716,JAK1
3717,JAK2
3718,JAK3
3727,JUND
3757,KCNH2
3767,KCNJ11
3784,KCNQ1
3786,KCNQ3
3791,KDR
3815,KIT
3845,KRAS
3949,LDLR
3952,LEP
3953,LEPR
4000,LMNA
4023,LPL
4035,LRP1
4089,SMAD4
4128,MAOA
4129,MAOB
4137,MAPT
4160,MC4R
4162,MCAM
4193,MDM2
4204,MECP2
4215,MAP3K3
4233,MET
4292,MLH1
4314,MMP3
4318,MMP9
4436,MSH2
4438,MSH4
4524,MTHFR
4595,MUTYH
4607,MYBPC3
4609,MYC
4624,MYH6
4625,MYH7
4683,NBN
4763,NF1
4771,NF2
4790,NFKB1
4846,NOS3
4851,NOTCH1
4868,NPHS1
4869,NPM1
4893,NRAS
4914,NTRK1
4915,NTRK2
4916,NTRK3
5010,CLDN11
5071,PRKN
5111,PCNA
5139,PDE3A
5140,PDE3B
5141,PDE4A
5156,PDGFRA
5159,PDGFRB
5170,PDPK1
5175,PECAM1
5265,SERPINA1
5290,PIK3CA
5291,PIK3CB
5293,PIK3CD
5295,PIK3R1
5310,PKD1
5311,PKD2
5318,PKP2
5371,PML
5460,POU5F1
5467,PPARD
5468,PPARG
5551,PRF1
5594,MAPK1
5595,MAPK3
5604,MAP2K1
5663,PSEN1
5664,PSEN2
5727,PTCH1
5728,PTEN
5743,PTGS2
5913,RAPSN
5925,RB1
5970,RELA
5972,REN
5979,RET
6095,RORA
6262,RYR2
6323,SCN1A
6326,SCN2A
6331,SCN5A
6347,CCL2
6351,CCL4
6352,CCL5
6374,CXCL5
6422,SFRP1
6439,SFTPB
6440,SFTPC
6513,SLC2A1
6514,SLC2A2
6531,SLC6A3
6532,SLC6A4
6608,SMO
6622,SNCA
6647,SOD1
6696,SPP1
6722,SRF
6772,STAT1
6774,STAT3
6794,STK11
6833,ABCC8
6927,HNF1A
6928,HNF1B
6934,TCF7L2
7010,TEK
7099,TLR4
7100,TLR5
7124,TNF
7139,TNNT2
7157,TP53
7168,TPM1
7248,TSC1
7249,TSC2
7273,TTN
7297,TYK2
7375,USP4
7422,VEGFA
7428,VHL
7456,WIPF1
7466,WFS1
7490,WT1
7827,NPHS2
7867,MAPKAPK3
8301,PICALM
8878,SQSTM1
8914,TIMELESS
9356,SLC22A6
9370,ADIPOQ
9378,NRXN1
9649,RALGPS1
9817,KEAP1
9963,SLC23A1
10021,HCN4
10347,ABCA7
11200,CHEK2
11315,PARK7
23435,TARDBP
23533,PIK3R5
26047,CNTNAP2
26281,FGF20
29126,CD274
51284,TLR7
51311,TLR8
54106,TLR9
54790,TET2
55294,FBXW7
55765,INAVA
65018,PINK1
79728,PALB2
85358,SHANK3
90865,IL33
120892,LRRK2
171023,ASXL1
255738,PCSK9